// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\e411af65-f76e-4f87-8ac5-3c43daec037d
// command took 1.44s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\e411af65-f76e-4f87-8ac5-3c43daec037d
// command took 2.12s and exited with 0
// ***** Done, took 00:00:03 (3.65 sec)   *****
// Found 3 benchmarks:
//   TestesMetodos.TesteString1: DefaultJob
//   TestesMetodos.TesteString2: DefaultJob
//   TestesMetodos.TesteString3: DefaultJob

// **************************
// Benchmark: TestesMetodos.TesteString1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e411af65-f76e-4f87-8ac5-3c43daec037d.dll" --benchmarkName "EntityFramework_Estudos.TestesMetodos.TesteString1" --job "Default" --benchmarkId 0 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\e411af65-f76e-4f87-8ac5-3c43daec037d\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 336600.00 ns, 336.6000 us/op
WorkloadJitting  1: 1 op, 221400.00 ns, 221.4000 us/op

OverheadJitting  2: 16 op, 488000.00 ns, 30.5000 us/op
WorkloadJitting  2: 16 op, 574700.00 ns, 35.9188 us/op

WorkloadPilot    1: 16 op, 5100.00 ns, 318.7500 ns/op
WorkloadPilot    2: 32 op, 4600.00 ns, 143.7500 ns/op
WorkloadPilot    3: 64 op, 9000.00 ns, 140.6250 ns/op
WorkloadPilot    4: 128 op, 14900.00 ns, 116.4062 ns/op
WorkloadPilot    5: 256 op, 28200.00 ns, 110.1562 ns/op
WorkloadPilot    6: 512 op, 53800.00 ns, 105.0781 ns/op
WorkloadPilot    7: 1024 op, 141400.00 ns, 138.0859 ns/op
WorkloadPilot    8: 2048 op, 218500.00 ns, 106.6895 ns/op
WorkloadPilot    9: 4096 op, 492000.00 ns, 120.1172 ns/op
WorkloadPilot   10: 8192 op, 1045200.00 ns, 127.5879 ns/op
WorkloadPilot   11: 16384 op, 1963700.00 ns, 119.8547 ns/op
WorkloadPilot   12: 32768 op, 4219600.00 ns, 128.7720 ns/op
WorkloadPilot   13: 65536 op, 6687400.00 ns, 102.0416 ns/op
WorkloadPilot   14: 131072 op, 18549200.00 ns, 141.5192 ns/op
WorkloadPilot   15: 262144 op, 26574600.00 ns, 101.3741 ns/op
WorkloadPilot   16: 524288 op, 55018400.00 ns, 104.9393 ns/op
WorkloadPilot   17: 1048576 op, 91350700.00 ns, 87.1188 ns/op
WorkloadPilot   18: 2097152 op, 174805900.00 ns, 83.3539 ns/op
WorkloadPilot   19: 4194304 op, 354334500.00 ns, 84.4799 ns/op
WorkloadPilot   20: 8388608 op, 681843100.00 ns, 81.2820 ns/op

