// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\0e7583b5-0bc7-4151-ae0b-ba7e02a54772
// command took 1.38s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\0e7583b5-0bc7-4151-ae0b-ba7e02a54772
// command took 2.01s and exited with 0
// ***** Done, took 00:00:03 (3.47 sec)   *****
// Found 3 benchmarks:
//   TestesMetodos.TesteString1: DefaultJob
//   TestesMetodos.TesteString2: DefaultJob
//   TestesMetodos.TesteString3: DefaultJob

// **************************
// Benchmark: TestesMetodos.TesteString1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0e7583b5-0bc7-4151-ae0b-ba7e02a54772.dll" --benchmarkName "EntityFramework_Estudos.TestesMetodos.TesteString1" --job "Default" --benchmarkId 0 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\0e7583b5-0bc7-4151-ae0b-ba7e02a54772\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 254300.00 ns, 254.3000 us/op
WorkloadJitting  1: 1 op, 372300.00 ns, 372.3000 us/op

OverheadJitting  2: 16 op, 719300.00 ns, 44.9562 us/op
WorkloadJitting  2: 16 op, 552300.00 ns, 34.5187 us/op

WorkloadPilot    1: 16 op, 3800.00 ns, 237.5000 ns/op
WorkloadPilot    2: 32 op, 5300.00 ns, 165.6250 ns/op
WorkloadPilot    3: 64 op, 9600.00 ns, 150.0000 ns/op
WorkloadPilot    4: 128 op, 17500.00 ns, 136.7188 ns/op
WorkloadPilot    5: 256 op, 63300.00 ns, 247.2656 ns/op
WorkloadPilot    6: 512 op, 52700.00 ns, 102.9297 ns/op
WorkloadPilot    7: 1024 op, 145100.00 ns, 141.6992 ns/op
WorkloadPilot    8: 2048 op, 221500.00 ns, 108.1543 ns/op
WorkloadPilot    9: 4096 op, 526200.00 ns, 128.4668 ns/op
WorkloadPilot   10: 8192 op, 1365000.00 ns, 166.6260 ns/op
WorkloadPilot   11: 16384 op, 2193600.00 ns, 133.8867 ns/op
WorkloadPilot   12: 32768 op, 4079500.00 ns, 124.4965 ns/op
WorkloadPilot   13: 65536 op, 6175500.00 ns, 94.2307 ns/op
WorkloadPilot   14: 131072 op, 12117400.00 ns, 92.4484 ns/op
WorkloadPilot   15: 262144 op, 23729700.00 ns, 90.5216 ns/op
WorkloadPilot   16: 524288 op, 46577100.00 ns, 88.8388 ns/op
WorkloadPilot   17: 1048576 op, 94017900.00 ns, 89.6625 ns/op
WorkloadPilot   18: 2097152 op, 174778800.00 ns, 83.3410 ns/op
WorkloadPilot   19: 4194304 op, 341717200.00 ns, 81.4717 ns/op
WorkloadPilot   20: 8388608 op, 680496400.00 ns, 81.1215 ns/op

