// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\7dc775cc-a1ea-4b25-9a0c-3e7bde344581
// command took 1.51s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\7dc775cc-a1ea-4b25-9a0c-3e7bde344581
// command took 2.11s and exited with 0
// ***** Done, took 00:00:03 (3.69 sec)   *****
// Found 2 benchmarks:
//   TestesConsultas.Somar1: DefaultJob
//   TestesConsultas.Somar2: DefaultJob

// **************************
// Benchmark: TestesConsultas.Somar1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7dc775cc-a1ea-4b25-9a0c-3e7bde344581.dll" --benchmarkName "EntityFramework_Estudos.TestesConsultas.Somar1" --job "Default" --benchmarkId 0 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\7dc775cc-a1ea-4b25-9a0c-3e7bde344581\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.16 (CoreCLR 4.700.21.26205, CoreFX 4.700.21.26205), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 214500.00 ns, 214.5000 us/op
WorkloadJitting  1: 1 op, 150700.00 ns, 150.7000 us/op

OverheadJitting  2: 16 op, 337900.00 ns, 21.1187 us/op
WorkloadJitting  2: 16 op, 351300.00 ns, 21.9563 us/op

WorkloadPilot    1: 16 op, 400.00 ns, 25.0000 ns/op
WorkloadPilot    2: 32 op, 400.00 ns, 12.5000 ns/op
WorkloadPilot    3: 64 op, 500.00 ns, 7.8125 ns/op
WorkloadPilot    4: 128 op, 500.00 ns, 3.9062 ns/op
WorkloadPilot    5: 256 op, 600.00 ns, 2.3438 ns/op
WorkloadPilot    6: 512 op, 1100.00 ns, 2.1484 ns/op
WorkloadPilot    7: 1024 op, 1800.00 ns, 1.7578 ns/op
WorkloadPilot    8: 2048 op, 3100.00 ns, 1.5137 ns/op
WorkloadPilot    9: 4096 op, 6000.00 ns, 1.4648 ns/op
WorkloadPilot   10: 8192 op, 11400.00 ns, 1.3916 ns/op
WorkloadPilot   11: 16384 op, 22800.00 ns, 1.3916 ns/op
WorkloadPilot   12: 32768 op, 45200.00 ns, 1.3794 ns/op
WorkloadPilot   13: 65536 op, 90100.00 ns, 1.3748 ns/op
WorkloadPilot   14: 131072 op, 179800.00 ns, 1.3718 ns/op
WorkloadPilot   15: 262144 op, 359300.00 ns, 1.3706 ns/op
WorkloadPilot   16: 524288 op, 721000.00 ns, 1.3752 ns/op
WorkloadPilot   17: 1048576 op, 1440600.00 ns, 1.3739 ns/op
WorkloadPilot   18: 2097152 op, 2867900.00 ns, 1.3675 ns/op
WorkloadPilot   19: 4194304 op, 5737100.00 ns, 1.3678 ns/op
WorkloadPilot   20: 8388608 op, 11504800.00 ns, 1.3715 ns/op
WorkloadPilot   21: 16777216 op, 23050600.00 ns, 1.3739 ns/op
WorkloadPilot   22: 33554432 op, 46863000.00 ns, 1.3966 ns/op
WorkloadPilot   23: 67108864 op, 95859000.00 ns, 1.4284 ns/op
WorkloadPilot   24: 134217728 op, 193701600.00 ns, 1.4432 ns/op
WorkloadPilot   25: 268435456 op, 368143100.00 ns, 1.3714 ns/op
WorkloadPilot   26: 536870912 op, 736442700.00 ns, 1.3717 ns/op

OverheadWarmup   1: 536870912 op, 736052800.00 ns, 1.3710 ns/op
OverheadWarmup   2: 536870912 op, 736827100.00 ns, 1.3724 ns/op
OverheadWarmup   3: 536870912 op, 747563800.00 ns, 1.3924 ns/op
OverheadWarmup   4: 536870912 op, 745094400.00 ns, 1.3878 ns/op
OverheadWarmup   5: 536870912 op, 745396800.00 ns, 1.3884 ns/op
OverheadWarmup   6: 536870912 op, 738518900.00 ns, 1.3756 ns/op

OverheadActual   1: 536870912 op, 745409900.00 ns, 1.3884 ns/op
OverheadActual   2: 536870912 op, 744659200.00 ns, 1.3870 ns/op
OverheadActual   3: 536870912 op, 916409400.00 ns, 1.7069 ns/op
OverheadActual   4: 536870912 op, 748211400.00 ns, 1.3937 ns/op
OverheadActual   5: 536870912 op, 744827000.00 ns, 1.3873 ns/op
OverheadActual   6: 536870912 op, 736578400.00 ns, 1.3720 ns/op
OverheadActual   7: 536870912 op, 900254400.00 ns, 1.6769 ns/op
OverheadActual   8: 536870912 op, 739891700.00 ns, 1.3782 ns/op
OverheadActual   9: 536870912 op, 735832100.00 ns, 1.3706 ns/op
OverheadActual  10: 536870912 op, 744687700.00 ns, 1.3871 ns/op
OverheadActual  11: 536870912 op, 744424300.00 ns, 1.3866 ns/op
OverheadActual  12: 536870912 op, 899488900.00 ns, 1.6754 ns/op
OverheadActual  13: 536870912 op, 742378000.00 ns, 1.3828 ns/op
OverheadActual  14: 536870912 op, 753606700.00 ns, 1.4037 ns/op
OverheadActual  15: 536870912 op, 744506000.00 ns, 1.3868 ns/op

WorkloadWarmup   1: 536870912 op, 742473100.00 ns, 1.3830 ns/op
WorkloadWarmup   2: 536870912 op, 736898100.00 ns, 1.3726 ns/op
WorkloadWarmup   3: 536870912 op, 742704800.00 ns, 1.3834 ns/op
WorkloadWarmup   4: 536870912 op, 741839100.00 ns, 1.3818 ns/op
WorkloadWarmup   5: 536870912 op, 742338300.00 ns, 1.3827 ns/op
WorkloadWarmup   6: 536870912 op, 735770000.00 ns, 1.3705 ns/op

// BeforeActualRun
WorkloadActual   1: 536870912 op, 741603600.00 ns, 1.3813 ns/op
WorkloadActual   2: 536870912 op, 743472100.00 ns, 1.3848 ns/op
WorkloadActual   3: 536870912 op, 737125300.00 ns, 1.3730 ns/op
WorkloadActual   4: 536870912 op, 739972000.00 ns, 1.3783 ns/op
WorkloadActual   5: 536870912 op, 743638400.00 ns, 1.3851 ns/op
WorkloadActual   6: 536870912 op, 737184800.00 ns, 1.3731 ns/op
WorkloadActual   7: 536870912 op, 737069000.00 ns, 1.3729 ns/op
WorkloadActual   8: 536870912 op, 742520000.00 ns, 1.3831 ns/op
WorkloadActual   9: 536870912 op, 737029500.00 ns, 1.3728 ns/op
WorkloadActual  10: 536870912 op, 743678100.00 ns, 1.3852 ns/op
WorkloadActual  11: 536870912 op, 741259900.00 ns, 1.3807 ns/op
WorkloadActual  12: 536870912 op, 742029100.00 ns, 1.3821 ns/op
WorkloadActual  13: 536870912 op, 742968600.00 ns, 1.3839 ns/op
WorkloadActual  14: 536870912 op, 741796600.00 ns, 1.3817 ns/op
WorkloadActual  15: 536870912 op, 739865700.00 ns, 1.3781 ns/op

// AfterActualRun
WorkloadResult   1: 536870912 op, 0.00 ns, 0.0000 ns/op
