// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\1efb29c3-9c02-499e-ad77-f1cdd319a579
// command took 1.32s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\1efb29c3-9c02-499e-ad77-f1cdd319a579
// command took 2.01s and exited with 0
// ***** Done, took 00:00:03 (3.42 sec)   *****
// Found 2 benchmarks:
//   TestesConsultas.Somar1: DefaultJob
//   TestesConsultas.Somar2: DefaultJob

// **************************
// Benchmark: TestesConsultas.Somar1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1efb29c3-9c02-499e-ad77-f1cdd319a579.dll" --benchmarkName "EntityFramework_Estudos.TestesConsultas.Somar1" --job "Default" --benchmarkId 0 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\1efb29c3-9c02-499e-ad77-f1cdd319a579\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.16 (CoreCLR 4.700.21.26205, CoreFX 4.700.21.26205), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 217900.00 ns, 217.9000 us/op
WorkloadJitting  1: 1 op, 175800.00 ns, 175.8000 us/op

OverheadJitting  2: 16 op, 352500.00 ns, 22.0312 us/op
WorkloadJitting  2: 16 op, 336400.00 ns, 21.0250 us/op

WorkloadPilot    1: 16 op, 9000.00 ns, 562.5000 ns/op
WorkloadPilot    2: 32 op, 16400.00 ns, 512.5000 ns/op
WorkloadPilot    3: 64 op, 35200.00 ns, 550.0000 ns/op
WorkloadPilot    4: 128 op, 61000.00 ns, 476.5625 ns/op
WorkloadPilot    5: 256 op, 119700.00 ns, 467.5781 ns/op
WorkloadPilot    6: 512 op, 226400.00 ns, 442.1875 ns/op
WorkloadPilot    7: 1024 op, 467300.00 ns, 456.3477 ns/op
WorkloadPilot    8: 2048 op, 993300.00 ns, 485.0098 ns/op
WorkloadPilot    9: 4096 op, 2141600.00 ns, 522.8516 ns/op
WorkloadPilot   10: 8192 op, 3597100.00 ns, 439.0991 ns/op
WorkloadPilot   11: 16384 op, 7295400.00 ns, 445.2759 ns/op
WorkloadPilot   12: 32768 op, 12888700.00 ns, 393.3319 ns/op
WorkloadPilot   13: 65536 op, 26187700.00 ns, 399.5926 ns/op
WorkloadPilot   14: 131072 op, 49608000.00 ns, 378.4790 ns/op
WorkloadPilot   15: 262144 op, 98614100.00 ns, 376.1829 ns/op
WorkloadPilot   16: 524288 op, 201146700.00 ns, 383.6569 ns/op
WorkloadPilot   17: 1048576 op, 388159900.00 ns, 370.1781 ns/op
WorkloadPilot   18: 2097152 op, 775856900.00 ns, 369.9574 ns/op

OverheadWarmup   1: 2097152 op, 2887300.00 ns, 1.3768 ns/op
OverheadWarmup   2: 2097152 op, 2867300.00 ns, 1.3672 ns/op
OverheadWarmup   3: 2097152 op, 2899800.00 ns, 1.3827 ns/op
OverheadWarmup   4: 2097152 op, 2890800.00 ns, 1.3784 ns/op
OverheadWarmup   5: 2097152 op, 2883000.00 ns, 1.3747 ns/op
OverheadWarmup   6: 2097152 op, 2885400.00 ns, 1.3759 ns/op
OverheadWarmup   7: 2097152 op, 2868900.00 ns, 1.3680 ns/op

OverheadActual   1: 2097152 op, 2899000.00 ns, 1.3824 ns/op
OverheadActual   2: 2097152 op, 2892100.00 ns, 1.3791 ns/op
OverheadActual   3: 2097152 op, 2888900.00 ns, 1.3775 ns/op
OverheadActual   4: 2097152 op, 2896300.00 ns, 1.3811 ns/op
OverheadActual   5: 2097152 op, 2881100.00 ns, 1.3738 ns/op
OverheadActual   6: 2097152 op, 2870800.00 ns, 1.3689 ns/op
OverheadActual   7: 2097152 op, 2906300.00 ns, 1.3858 ns/op
OverheadActual   8: 2097152 op, 2893300.00 ns, 1.3796 ns/op
OverheadActual   9: 2097152 op, 2882200.00 ns, 1.3743 ns/op
OverheadActual  10: 2097152 op, 2864300.00 ns, 1.3658 ns/op
OverheadActual  11: 2097152 op, 2923600.00 ns, 1.3941 ns/op
OverheadActual  12: 2097152 op, 2923300.00 ns, 1.3939 ns/op
OverheadActual  13: 2097152 op, 2883400.00 ns, 1.3749 ns/op
OverheadActual  14: 2097152 op, 2861100.00 ns, 1.3643 ns/op
OverheadActual  15: 2097152 op, 2922600.00 ns, 1.3936 ns/op

WorkloadWarmup   1: 2097152 op, 774835100.00 ns, 369.4702 ns/op
WorkloadWarmup   2: 2097152 op, 772452700.00 ns, 368.3342 ns/op
WorkloadWarmup   3: 2097152 op, 774900800.00 ns, 369.5015 ns/op
WorkloadWarmup   4: 2097152 op, 775319100.00 ns, 369.7010 ns/op
WorkloadWarmup   5: 2097152 op, 775977200.00 ns, 370.0148 ns/op
WorkloadWarmup   6: 2097152 op, 801855700.00 ns, 382.3546 ns/op
WorkloadWarmup   7: 2097152 op, 778979600.00 ns, 371.4464 ns/op
WorkloadWarmup   8: 2097152 op, 776117200.00 ns, 370.0815 ns/op
WorkloadWarmup   9: 2097152 op, 775701400.00 ns, 369.8833 ns/op
WorkloadWarmup  10: 2097152 op, 773899800.00 ns, 369.0242 ns/op
WorkloadWarmup  11: 2097152 op, 772688300.00 ns, 368.4465 ns/op
WorkloadWarmup  12: 2097152 op, 773252300.00 ns, 368.7154 ns/op
WorkloadWarmup  13: 2097152 op, 775880800.00 ns, 369.9688 ns/op
WorkloadWarmup  14: 2097152 op, 774710200.00 ns, 369.4106 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 775262200.00 ns, 369.6738 ns/op
WorkloadActual   2: 2097152 op, 773535600.00 ns, 368.8505 ns/op
WorkloadActual   3: 2097152 op, 772437900.00 ns, 368.3271 ns/op
WorkloadActual   4: 2097152 op, 773742700.00 ns, 368.9493 ns/op
WorkloadActual   5: 2097152 op, 773379600.00 ns, 368.7761 ns/op
WorkloadActual   6: 2097152 op, 771818300.00 ns, 368.0316 ns/op
