// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc
// command took 2.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc
// command took 2.42s and exited with 0
// ***** Done, took 00:00:04 (4.92 sec)   *****
// Found 3 benchmarks:
//   TestesMetodos.TesteString1: DefaultJob
//   TestesMetodos.TesteString2: DefaultJob
//   TestesMetodos.TesteString3: DefaultJob

// **************************
// Benchmark: TestesMetodos.TesteString1: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc.dll" --benchmarkName "EntityFramework_Estudos.TestesMetodos.TesteString1" --job "Default" --benchmarkId 0 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 263900.00 ns, 263.9000 us/op
WorkloadJitting  1: 1 op, 218200.00 ns, 218.2000 us/op

OverheadJitting  2: 16 op, 481500.00 ns, 30.0938 us/op
WorkloadJitting  2: 16 op, 508500.00 ns, 31.7812 us/op

WorkloadPilot    1: 16 op, 3200.00 ns, 200.0000 ns/op
WorkloadPilot    2: 32 op, 4800.00 ns, 150.0000 ns/op
WorkloadPilot    3: 64 op, 9500.00 ns, 148.4375 ns/op
WorkloadPilot    4: 128 op, 14900.00 ns, 116.4062 ns/op
WorkloadPilot    5: 256 op, 24900.00 ns, 97.2656 ns/op
WorkloadPilot    6: 512 op, 55900.00 ns, 109.1797 ns/op
WorkloadPilot    7: 1024 op, 173500.00 ns, 169.4336 ns/op
WorkloadPilot    8: 2048 op, 220000.00 ns, 107.4219 ns/op
WorkloadPilot    9: 4096 op, 505000.00 ns, 123.2910 ns/op
WorkloadPilot   10: 8192 op, 1055000.00 ns, 128.7842 ns/op
WorkloadPilot   11: 16384 op, 2105100.00 ns, 128.4851 ns/op
WorkloadPilot   12: 32768 op, 3886300.00 ns, 118.6005 ns/op
WorkloadPilot   13: 65536 op, 6466900.00 ns, 98.6771 ns/op
WorkloadPilot   14: 131072 op, 12628400.00 ns, 96.3470 ns/op
WorkloadPilot   15: 262144 op, 25024300.00 ns, 95.4601 ns/op
WorkloadPilot   16: 524288 op, 47525600.00 ns, 90.6479 ns/op
WorkloadPilot   17: 1048576 op, 93013200.00 ns, 88.7043 ns/op
WorkloadPilot   18: 2097152 op, 175142000.00 ns, 83.5142 ns/op
WorkloadPilot   19: 4194304 op, 320700000.00 ns, 76.4608 ns/op
WorkloadPilot   20: 8388608 op, 644649900.00 ns, 76.8483 ns/op

OverheadWarmup   1: 8388608 op, 26399700.00 ns, 3.1471 ns/op
OverheadWarmup   2: 8388608 op, 26413100.00 ns, 3.1487 ns/op
OverheadWarmup   3: 8388608 op, 26367400.00 ns, 3.1432 ns/op
OverheadWarmup   4: 8388608 op, 26432200.00 ns, 3.1510 ns/op
OverheadWarmup   5: 8388608 op, 26371100.00 ns, 3.1437 ns/op

OverheadActual   1: 8388608 op, 26541000.00 ns, 3.1639 ns/op
OverheadActual   2: 8388608 op, 26323200.00 ns, 3.1380 ns/op
OverheadActual   3: 8388608 op, 26622700.00 ns, 3.1737 ns/op
OverheadActual   4: 8388608 op, 27731800.00 ns, 3.3059 ns/op
OverheadActual   5: 8388608 op, 29060600.00 ns, 3.4643 ns/op
OverheadActual   6: 8388608 op, 26358000.00 ns, 3.1421 ns/op
OverheadActual   7: 8388608 op, 26472900.00 ns, 3.1558 ns/op
OverheadActual   8: 8388608 op, 26446900.00 ns, 3.1527 ns/op
OverheadActual   9: 8388608 op, 26514700.00 ns, 3.1608 ns/op
OverheadActual  10: 8388608 op, 26526600.00 ns, 3.1622 ns/op
OverheadActual  11: 8388608 op, 26414200.00 ns, 3.1488 ns/op
OverheadActual  12: 8388608 op, 26514700.00 ns, 3.1608 ns/op
OverheadActual  13: 8388608 op, 26414700.00 ns, 3.1489 ns/op
OverheadActual  14: 8388608 op, 26305800.00 ns, 3.1359 ns/op
OverheadActual  15: 8388608 op, 26435300.00 ns, 3.1513 ns/op

WorkloadWarmup   1: 8388608 op, 643533000.00 ns, 76.7151 ns/op
WorkloadWarmup   2: 8388608 op, 639463900.00 ns, 76.2300 ns/op
WorkloadWarmup   3: 8388608 op, 644650500.00 ns, 76.8483 ns/op
WorkloadWarmup   4: 8388608 op, 642158600.00 ns, 76.5513 ns/op
WorkloadWarmup   5: 8388608 op, 644850500.00 ns, 76.8722 ns/op
WorkloadWarmup   6: 8388608 op, 660637300.00 ns, 78.7541 ns/op
WorkloadWarmup   7: 8388608 op, 643486200.00 ns, 76.7095 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 643809800.00 ns, 76.7481 ns/op
WorkloadActual   2: 8388608 op, 642606600.00 ns, 76.6047 ns/op
WorkloadActual   3: 8388608 op, 644261900.00 ns, 76.8020 ns/op
WorkloadActual   4: 8388608 op, 640700100.00 ns, 76.3774 ns/op
WorkloadActual   5: 8388608 op, 641441300.00 ns, 76.4658 ns/op
WorkloadActual   6: 8388608 op, 634799700.00 ns, 75.6740 ns/op
WorkloadActual   7: 8388608 op, 640763300.00 ns, 76.3849 ns/op
WorkloadActual   8: 8388608 op, 646827300.00 ns, 77.1078 ns/op
WorkloadActual   9: 8388608 op, 635141200.00 ns, 75.7147 ns/op
WorkloadActual  10: 8388608 op, 648760700.00 ns, 77.3383 ns/op
WorkloadActual  11: 8388608 op, 641368600.00 ns, 76.4571 ns/op
WorkloadActual  12: 8388608 op, 640427000.00 ns, 76.3448 ns/op
WorkloadActual  13: 8388608 op, 641679800.00 ns, 76.4942 ns/op
WorkloadActual  14: 8388608 op, 638294600.00 ns, 76.0906 ns/op
WorkloadActual  15: 8388608 op, 638891700.00 ns, 76.1618 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 617336900.00 ns, 73.5923 ns/op
WorkloadResult   2: 8388608 op, 616133700.00 ns, 73.4489 ns/op
WorkloadResult   3: 8388608 op, 617789000.00 ns, 73.6462 ns/op
WorkloadResult   4: 8388608 op, 614227200.00 ns, 73.2216 ns/op
WorkloadResult   5: 8388608 op, 614968400.00 ns, 73.3099 ns/op
WorkloadResult   6: 8388608 op, 608326800.00 ns, 72.5182 ns/op
WorkloadResult   7: 8388608 op, 614290400.00 ns, 73.2291 ns/op
WorkloadResult   8: 8388608 op, 620354400.00 ns, 73.9520 ns/op
WorkloadResult   9: 8388608 op, 608668300.00 ns, 72.5589 ns/op
WorkloadResult  10: 8388608 op, 614895700.00 ns, 73.3013 ns/op
WorkloadResult  11: 8388608 op, 613954100.00 ns, 73.1890 ns/op
WorkloadResult  12: 8388608 op, 615206900.00 ns, 73.3384 ns/op
WorkloadResult  13: 8388608 op, 611821700.00 ns, 72.9348 ns/op
WorkloadResult  14: 8388608 op, 612418800.00 ns, 73.0060 ns/op
GC:  224 0 0 1409290912 8388608
Threading:  2 0 8388608

// AfterAll
// Benchmark Process 21564 has exited with code 0

Mean = 73.232 ns, StdErr = 0.105 ns (0.14%), N = 14, StdDev = 0.392 ns
Min = 72.518 ns, Q1 = 73.052 ns, Median = 73.265 ns, Q3 = 73.421 ns, Max = 73.952 ns
IQR = 0.369 ns, LowerFence = 72.498 ns, UpperFence = 73.975 ns
ConfidenceInterval = [72.790 ns; 73.674 ns] (CI 99.9%), Margin = 0.442 ns (0.60% of Mean)
Skewness = -0.24, Kurtosis = 2.41, MValue = 2

// **************************
// Benchmark: TestesMetodos.TesteString2: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc.dll" --benchmarkName "EntityFramework_Estudos.TestesMetodos.TesteString2" --job "Default" --benchmarkId 1 in C:\Users\GregoriBrunoFelicio\Desktop\Repositories\EntityFramework-Estudos\EntityFramework-Estudos\bin\Release\netcoreapp3.1\3cfe383f-bbc5-4f7d-ba9e-05ebe480eefc\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 261900.00 ns, 261.9000 us/op
WorkloadJitting  1: 1 op, 227000.00 ns, 227.0000 us/op

OverheadJitting  2: 16 op, 484700.00 ns, 30.2937 us/op
WorkloadJitting  2: 16 op, 540800.00 ns, 33.8000 us/op

WorkloadPilot    1: 16 op, 6500.00 ns, 406.2500 ns/op
WorkloadPilot    2: 32 op, 9600.00 ns, 300.0000 ns/op
WorkloadPilot    3: 64 op, 16700.00 ns, 260.9375 ns/op
WorkloadPilot    4: 128 op, 29300.00 ns, 228.9062 ns/op
WorkloadPilot    5: 256 op, 55300.00 ns, 216.0156 ns/op
WorkloadPilot    6: 512 op, 107900.00 ns, 210.7422 ns/op
WorkloadPilot    7: 1024 op, 256600.00 ns, 250.5859 ns/op
WorkloadPilot    8: 2048 op, 399000.00 ns, 194.8242 ns/op
WorkloadPilot    9: 4096 op, 910700.00 ns, 222.3389 ns/op
WorkloadPilot   10: 8192 op, 1787500.00 ns, 218.2007 ns/op
WorkloadPilot   11: 16384 op, 3612400.00 ns, 220.4834 ns/op
WorkloadPilot   12: 32768 op, 6757900.00 ns, 206.2347 ns/op
WorkloadPilot   13: 65536 op, 12167100.00 ns, 185.6552 ns/op
WorkloadPilot   14: 131072 op, 23425000.00 ns, 178.7186 ns/op
WorkloadPilot   15: 262144 op, 45885500.00 ns, 175.0393 ns/op
WorkloadPilot   16: 524288 op, 90498500.00 ns, 172.6122 ns/op
WorkloadPilot   17: 1048576 op, 179713100.00 ns, 171.3878 ns/op
WorkloadPilot   18: 2097152 op, 357562800.00 ns, 170.4992 ns/op
WorkloadPilot   19: 4194304 op, 727419700.00 ns, 173.4304 ns/op

OverheadWarmup   1: 4194304 op, 13267000.00 ns, 3.1631 ns/op
OverheadWarmup   2: 4194304 op, 13553600.00 ns, 3.2314 ns/op
OverheadWarmup   3: 4194304 op, 13487100.00 ns, 3.2156 ns/op
